report_date,value,location,location_type,data_field_code
2016-01-09,0.0,Colombia-Antioquia-Segovia,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Sonson,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Sopetran,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Santa_Barbara,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Tamesis,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-San_Jeronimo,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-San_Carlos,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Olaya,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Pe̡ol,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Peque,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Pueblorrico,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Puerto_Berrio,municipality,CO0002
2016-01-09,1.0,Colombia-Antioquia-Puerto_Nare,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-San_Francisco,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Puerto_Triunfo,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Retiro,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Rionegro,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Sabanalarga,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Sabaneta,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Salgar,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-San_Andres_De_Cuerquia,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Remedios,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Taraza,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Tarso,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Titiribi,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Galapa,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Juan_De_Acosta,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Luruaco,municipality,CO0002
2016-01-09,44.0,Colombia-Atlantico-Malambo,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Manati,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Palmar_De_Varela,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Candelaria,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Piojo,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Ponedera,municipality,CO0002
2016-01-09,81.0,Colombia-Atlantico-Puerto_Colombia,municipality,CO0002
2016-01-09,2.0,Colombia-Atlantico-Repelon,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Sabanagrande,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Sabanalarga,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Santa_Lucia,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Polonuevo,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Campo_De_La_Cruz,municipality,CO0002
2016-01-09,7.0,Colombia-Atlantico-Baranoa,municipality,CO0002
2016-01-09,0.0,Colombia-Atlantico-Unknown,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Toledo,municipality,CO0002
2016-01-09,10.0,Colombia-Antioquia-Turbo,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Uramita,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Urrao,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Valdivia,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Valparaiso,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Vegachi,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Venecia,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Vigia_Del_Fuerte,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Yali,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Yarumal,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Yolombo,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Yondo,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Zaragoza,municipality,CO0002
2016-01-09,1396.0,Colombia-Barranquilla-Barranquilla,municipality,CO0002
