report_date,location,location_type,data_field_code,value,ï»¿report_date
2016-07-05,Guatemala-Solola,municipality,GT0001,1.0,
2016-07-05,Guatemala-Huehuetenango,municipality,GT0001,0.0,
2016-07-05,Guatemala-Alta_Verapaz,municipality,GT0001,0.0,
2016-07-05,Guatemala-Santa_Rosa,municipality,GT0001,3.0,
2016-07-05,Guatemala-Zacapa,municipality,GT0001,13.0,
2016-07-05,Guatemala-Jalapa,municipality,GT0001,7.0,
2016-07-05,Guatemala-Nor_Occidente,municipality,GT0001,15.0,
2016-07-05,Guatemala-San_Marcos,municipality,GT0001,0.0,
2016-07-05,Guatemala-Nor_Oriente,municipality,GT0001,0.0,
2016-07-05,Guatemala-Peten_Norte,municipality,GT0001,0.0,
2016-07-05,Guatemala-Ixcan,municipality,GT0001,0.0,
2016-07-05,Guatemala-Central,municipality,GT0001,13.0,
2016-07-05,Guatemala-Escuintla,municipality,GT0001,2.0,
2016-07-05,Guatemala,country,GT0001,87.0,
2016-07-05,Guatemala-Jutiapa,municipality,GT0001,0.0,
2016-07-05,Guatemala-Retalhuleu,municipality,GT0001,1.0,
2016-07-05,Guatemala-Suchitepequez,municipality,GT0001,0.0,
2016-07-05,Guatemala-Peten_Sur_Oriental,municipality,GT0001,8.0,
2016-07-19,Guatemala-Zacapa,municipality,GT0001,0.0,
2016-07-19,Guatemala-Santa_Rosa,municipality,GT0001,1.0,
2016-07-19,Guatemala-Peten_Sur_Occidental,municipality,GT0001,1.0,
2016-07-19,Guatemala,country,GT0001,80.0,
2016-07-19,Guatemala-Baja_Verapaz,municipality,GT0001,0.0,
2016-07-19,Guatemala-Solola,municipality,GT0001,0.0,
2016-07-19,Guatemala-Nor_Occidente,municipality,GT0001,11.0,
2016-07-19,Guatemala-Quetzaltenango,municipality,GT0001,3.0,
2016-07-19,Guatemala-Chiquimula,municipality,GT0001,28.0,
2016-07-19,Guatemala-Sacatepequez,municipality,GT0001,0.0,
2016-07-19,Guatemala-El_Quiche,municipality,GT0001,0.0,
2016-07-19,Guatemala-Chimaltenango,municipality,GT0001,1.0,
2016-07-19,Guatemala-Peten_Sur_Oriental,municipality,GT0001,2.0,
2016-07-19,Guatemala-Huehuetenango,municipality,GT0001,0.0,
2016-07-19,Guatemala-Alta_Verapaz,municipality,GT0001,0.0,
2016-07-19,Guatemala-Suchitepequez,municipality,GT0001,0.0,
2016-07-19,Guatemala-Retalhuleu,municipality,GT0001,0.0,
2016-07-19,Guatemala-Jutiapa,municipality,GT0001,0.0,
2016-07-19,Guatemala-Central,municipality,GT0001,15.0,
2016-07-19,Guatemala-Izabal,municipality,GT0001,1.0,
2016-07-19,Guatemala-Escuintla,municipality,GT0001,0.0,
2016-07-19,Guatemala-Ixcan,municipality,GT0001,0.0,
2016-07-19,Guatemala-Peten_Norte,municipality,GT0001,0.0,
2016-07-19,Guatemala-Nor_Oriente,municipality,GT0001,0.0,
2016-07-19,Guatemala-San_Marcos,municipality,GT0001,0.0,
2016-07-19,Guatemala-Sur,municipality,GT0001,6.0,
2016-07-19,Guatemala-El_Progreso,municipality,GT0001,1.0,
2016-07-19,Guatemala-Jalapa,municipality,GT0001,10.0,
2016-07-26,Guatemala-Chiquimula,municipality,GT0001,8.0,
2016-07-26,Guatemala-El_Quiche,municipality,GT0001,9.0,
2016-07-26,Guatemala-Baja_Verapaz,municipality,GT0001,0.0,
2016-07-26,Guatemala-Chimaltenango,municipality,GT0001,2.0,
2016-07-26,Guatemala-Huehuetenango,municipality,GT0001,6.0,
2016-07-26,Guatemala-Sacatepequez,municipality,GT0001,0.0,
